"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2024","29.0955","30.4615","31.5465","28.5745","","-4.21%"
"05/01/2024","30.3750","26.3525","32.5085","26.0195","","15.63%"
"04/01/2024","26.2700","25.0000","29.8054","24.7396","","5.19%"
"03/01/2024","24.9738","22.6691","25.7869","22.4972","","10.17%"
"02/01/2024","22.6677","22.9179","23.5150","21.9277","","-1.08%"
"01/01/2024","22.9156","23.8096","24.1075","21.9209","","-3.55%"
"12/01/2023","23.7600","25.2700","25.8829","22.5000","","-5.90%"
"11/01/2023","25.2487","22.9601","25.2969","21.8650","","10.26%"
"10/01/2023","22.9000","22.1827","23.7100","20.6802","","3.34%"
"09/01/2023","22.1600","24.4023","24.8302","22.1058","","-9.31%"
"08/01/2023","24.4350","24.7480","25.0243","22.2157","","-1.35%"
"07/01/2023","24.7700","22.7785","25.2871","22.5220","","8.87%"
"06/01/2023","22.7521","23.5455","24.5374","22.0993","","-3.09%"
"05/01/2023","23.4775","25.1623","26.1458","22.6722","","-6.23%"
"04/01/2023","25.0363","24.1300","26.1072","23.5631","","4.00%"
"03/01/2023","24.0730","20.9146","24.1750","19.8923","","15.11%"
"02/01/2023","20.9124","23.7250","24.6472","20.4142","","-11.76%"
"01/01/2023","23.6994","23.9700","24.5750","22.7500","","-1.11%"
"12/01/2022","23.9652","22.1982","24.3350","22.0146","","7.98%"
"11/01/2022","22.1948","19.1655","22.2850","18.8200","","15.96%"
"10/01/2022","19.1404","19.0200","21.2550","18.0800","","0.74%"
"09/01/2022","19.0000","17.9750","20.0271","17.5548","","5.73%"
"08/01/2022","17.9700","20.3230","20.8950","17.9200","","-11.56%"
"07/01/2022","20.3200","20.2724","20.3750","18.1315","","0.36%"